activation_event_count,authentication,browser_entrypoint,bytes,category_count,commands,custom_editors,debuggers,dependency_count,dev_dependency_count,extension_id,languages,license_declared,main_entrypoint,repository_declared,sha256,task_definitions,terminal_profiles,untrusted_workspace_limited,valid_manifest,version,virtual_workspace_limited,vscode_engine,webview_views,wildcard_activation
1,0,False,106992,1,6,0,0,1,10,yishayhaz.smart-theme,0,False,True,True,7fe0b3ee651380e3890f1c0044c67acf09b8f6fc5eaacd245f77cb5e925d78a9,0,0,False,True,0.0.3,False,^1.93.0,0,False
1,0,False,948286,2,10,0,0,5,8,tokyolabs.tokyolabs-presence,0,True,True,True,800135c8dd360e59370b785404ab227cc7bc883584bffe8016386a90c1f74b62,0,0,False,True,1.0.7,True,^1.52.0,0,False
1,0,False,81861,5,0,0,0,4,6,nadim-vscode.symfony-code-snippets,0,True,True,True,8129825ec8df1b8f264a450c2dc961895befb63a6f4c3e5232ecb2c634734b80,0,0,False,True,2.1.1,False,^1.73.1,0,False
0,0,False,4867371,1,0,0,0,1,0,KumarAshishRanjan.ash-theme-4971,0,False,False,True,817e345ae7358f6fdf608824efd95278d410c22b16efcff527c6d5d8ab9c2441,0,0,False,True,0.0.1,False,^1.54.0,0,False
10,0,True,1565778,3,172,0,0,29,70,GitHub.vscode-pull-request-github,0,True,True,True,819e5127fe6c221b868e78145d77e5276ababc49db8e2798014470d31e2f8f22,0,0,True,True,0.162.0,False,^1.130.0,11,False
1,0,True,1019127,1,2,0,0,0,12,Vue.volar,4,False,True,True,8203d522f0a69dfc97bdd9d3b33dac4b57e9f0dfa1afb8890fd8db35bc116b95,0,0,False,True,3.3.9,True,^1.88.0,0,False
0,0,False,117408,1,0,0,0,0,0,ngryman.codesandbox-theme,0,True,False,True,8309529b53e73123135769061170a1856d41bdeba2b6e91ef001f4efbc010bd2,0,0,False,True,2.0.0,False,^1.28.0,0,False
1,0,False,7036645,1,2,0,0,10,16,alone.commit-ai,0,True,True,True,8545b2d400ef2dac2ea95dc5c5b42521447c5f4390896325293b5ecb556ddacf,0,0,False,True,0.0.9,False,^1.77.0,0,False
2,0,False,601914,1,2,0,0,2,6,jammerware.code-guid,0,True,True,True,8794f3f6ac83cca208cdfd8d94a9b800076b4ccdf6b1df35647e60ea55c814d5,0,0,False,True,1.3.1,False,^1.51.0,0,False
1,0,False,145291,1,0,0,0,1,9,akosyakov.gitpod-monitor,0,True,True,True,8a0fd10e2b65f26a8823be0cbc4208c22531fda6a6774a6a3390f9d81dd09dd9,0,0,False,True,0.0.5,False,^1.58.2,0,True
0,0,False,3925,1,0,0,0,0,0,fire.fire-s-extension-pack,0,False,False,True,8ab130198550484011b28b6f1a62fc3ff376e7b83356d7b551ce3d737380e5f8,0,0,False,True,0.8.1,False,^1.63.0,0,False
